price,area,bedrooms,bathrooms,stories,parking,furnishingstatus,city,mainroad
4200000,3200,3,2,2,1,furnished,Northville,yes
5100000,4100,4,3,2,2,semi-furnished,Northville,yes
2850000,2200,2,1,1,1,unfurnished,Lakeside,yes
6300000,5200,5,3,2,2,furnished,Lakeside,yes
3500000,2800,3,2,1,1,semi-furnished,Westfield,no
7600000,6800,5,4,3,3,furnished,Westfield,yes
1950000,1800,2,1,1,0,unfurnished,Easton,no
4750000,3600,3,2,2,1,semi-furnished,Easton,yes
8900000,8200,6,4,3,4,furnished,Northville,yes
3150000,2400,2,2,1,1,unfurnished,Lakeside,yes
5450000,4300,4,3,2,2,semi-furnished,Westfield,yes
2250000,2000,2,1,1,0,unfurnished,Easton,no
6750000,5900,5,3,2,2,furnished,Lakeside,yes
3950000,3000,3,2,2,1,semi-furnished,Northville,yes
7200000,6400,5,4,2,3,furnished,Westfield,yes
2600000,2100,2,1,1,1,unfurnished,Easton,yes
4850000,3700,3,2,2,1,semi-furnished,Lakeside,yes
9300000,9000,6,5,3,4,furnished,Northville,yes
3300000,2550,3,2,1,1,unfurnished,Westfield,no
5800000,4700,4,3,2,2,semi-furnished,Easton,yes
